idx,seq1_1,seq1_2,seq1_3,seq1_4,seq1_5,seq1_6,seq2_1,seq2_2,seq2_3,seq2_4,seq2_5,seq2_6
16,"(164, '11')","(194, '12')","(25, '03')","(111, '09')","(92, '08')","(73, '06')","(220, '12')","(132, '11')","(84, '07')","(41, '03')","(101, '09')","(117, '10')"
17,"(228, '12')","(162, '11')","(35, '03')","(57, '05')","(23, '02')","(82, '07')","(156, '11')","(30, '03')","(191, '12')","(107, '09')","(76, '07')","(121, '10')"
18,"(223, '12')","(153, '11')","(115, '10')","(106, '09')","(93, '08')","(14, '01')","(144, '11')","(211, '12')","(99, '09')","(81, '07')","(42, '03')","(95, '08')"
19,"(199, '12')","(145, '11')","(52, '04')","(15, '01')","(37, '03')","(69, '05')","(165, '11')","(202, '12')","(24, '02')","(124, '10')","(6, '01')","(100, '09')"
20,"(195, '12')","(135, '11')","(89, '08')","(12, '01')","(111, '09')","(116, '10')","(139, '11')","(182, '12')","(59, '05')","(118, '10')","(31, '03')","(3, '01')"
21,"(172, '12')","(151, '11')","(10, '01')","(104, '09')","(56, '05')","(75, '07')","(131, '11')","(230, '12')","(87, '07')","(8, '01')","(43, '03')","(72, '06')"
22,"(184, '12')","(160, '11')","(113, '09')","(55, '05')","(80, '07')","(22, '02')","(166, '11')","(204, '12')","(120, '10')","(45, '03')","(110, '09')","(63, '05')"
23,"(221, '12')","(20, '02')","(36, '03')","(149, '11')","(17, '01')","(90, '08')","(142, '11')","(222, '12')","(65, '05')","(114, '10')","(74, '06')","(27, '03')"
24,"(171, '12')","(50, '04')","(168, '11')","(60, '05')","(1, '01')","(79, '07')","(150, '11')","(216, '12')","(112, '09')","(38, '03')","(67, '05')","(49, '04')"
25,"(233, '12')","(96, '08')","(71, '05')","(129, '10')","(158, '11')","(51, '04')","(46, '03')","(234, '12')","(128, '10')","(4, '01')","(86, '07')","(166, '11')"
26,"(187, '12')","(131, '11')","(54, '04')","(34, '03')","(127, '10')","(97, '09')","(139, '11')","(197, '12')","(68, '05')","(5, '01')","(98, '09')","(40, '03')"
27,"(193, '12')","(109, '09')","(85, '07')","(154, '11')","(48, '03')","(53, '04')","(103, '09')","(179, '12')","(16, '01')","(35, '03')","(133, '11')","(78, '07')"
28,"(190, '12')","(21, '02')","(130, '10')","(77, '07')","(141, '11')","(102, '09')","(138, '11')","(205, '12')","(26, '03')","(13, '01')","(122, '10')","(70, '05')"
29,"(210, '12')","(152, '11')","(9, '01')","(66, '05')","(29, '03')","(91, '08')","(143, '11')","(225, '12')","(61, '05')","(25, '03')","(119, '10')","(19, '01')"
30,"(200, '12')","(153, '11')","(108, '09')","(125, '10')","(11, '01')","(94, '08')","(32, '03')","(178, '12')","(165, '11')","(18, '01')","(64, '05')","(88, '07')"
31,"(217, '12')","(28, '03')","(144, '11')","(126, '10')","(62, '05')","(2, '01')","(169, '11')","(192, '12')","(83, '07')","(44, '03')","(123, '10')","(105, '09')"
32,"(229, '12')","(7, '01')","(136, '11')","(33, '03')","(58, '05')","(87, '07')","(151, '11')","(213, '12')","(30, '03')","(54, '04')","(128, '10')","(56, '05')"
33,"(226, '12')","(163, '11')","(41, '03')","(109, '09')","(58, '05')","(81, '07')","(157, '11')","(198, '12')","(7, '01')","(39, '03')","(126, '10')","(101, '09')"
34,"(207, '12')","(164, '11')","(47, '03')","(17, '01')","(50, '04')","(24, '02')","(161, '11')","(197, '12')","(94, '08')","(38, '03')","(23, '02')","(130, '10')"
35,"(162, '11')","(186, '12')","(29, '03')","(51, '04')","(114, '10')","(75, '07')","(223, '12')","(155, '11')","(119, '10')","(86, '07')","(25, '03')","(8, '01')"
36,"(211, '12')","(135, '11')","(118, '10')","(84, '07')","(71, '05')","(100, '09')","(140, '11')","(202, '12')","(96, '08')","(112, '09')","(49, '04')","(55, '05')"
37,"(173, '12')","(148, '11')","(90, '08')","(53, '04')","(2, '01')","(129, '10')","(145, '11')","(170, '12')","(117, '10')","(93, '08')","(31, '03')","(98, '09')"
38,"(179, '12')","(160, '11')","(95, '08')","(127, '10')","(78, '07')","(12, '01')","(159, '11')","(235, '12')","(3, '01')","(37, '03')","(103, '09')","(66, '05')"
39,"(196, '12')","(132, '11')","(36, '03')","(116, '10')","(97, '09')","(91, '08')","(134, '11')","(224, '12')","(52, '04')","(65, '05')","(20, '02')","(10, '01')"
40,"(176, '12')","(146, '11')","(80, '07')","(123, '10')","(4, '01')","(57, '05')","(137, '11')","(217, '12')","(108, '09')","(33, '03')","(63, '05')","(16, '01')"
41,"(188, '12')","(147, '11')","(88, '07')","(121, '10')","(45, '03')","(1, '01')","(167, '11')","(220, '12')","(120, '10')","(82, '07')","(69, '05')","(42, '03')"
42,"(208, '12')","(156, '11')","(9, '01')","(40, '03')","(85, '07')","(115, '10')","(64, '05')","(189, '12')","(163, '11')","(76, '07')","(22, '02')","(46, '03')"
43,"(213, '12')","(102, '09')","(60, '05')","(39, '03')","(153, '11')","(18, '01')","(135, '11')","(230, '12')","(19, '01')","(124, '10')","(61, '05')","(89, '08')"
44,"(204, '12')","(161, '11')","(99, '09')","(62, '05')","(43, '03')","(21, '02')","(92, '08')","(209, '12')","(169, '11')","(34, '03')","(70, '05')","(110, '09')"
45,"(185, '12')","(13, '01')","(83, '07')","(44, '03')","(162, '11')","(105, '09')","(141, '11')","(225, '12')","(32, '03')","(14, '01')","(74, '06')","(77, '07')"
46,"(212, '12')","(147, '11')","(15, '01')","(113, '09')","(28, '03')","(79, '07')","(164, '11')","(171, '12')","(35, '03')","(11, '01')","(106, '09')","(72, '06')"
47,"(180, '12')","(149, '11')","(41, '03')","(6, '01')","(122, '10')","(107, '09')","(150, '11')","(193, '12')","(68, '05')","(73, '06')","(48, '03')","(125, '10')"
48,"(203, '12')","(26, '03')","(139, '11')","(59, '05')","(5, '01')","(104, '09')","(166, '11')","(221, '12')","(111, '09')","(47, '03')","(67, '05')","(23, '02')"
49,"(195, '12')","(131, '11')","(27, '03')","(84, '07')","(112, '09')","(6, '01')","(30, '03')","(175, '12')","(137, '11')","(11, '01')","(70, '05')","(99, '09')"
50,"(190, '12')","(142, '11')","(56, '05')","(110, '09')","(80, '07')","(40, '03')","(144, '11')","(191, '12')","(127, '10')","(67, '05')","(17, '01')","(92, '08')"
51,"(233, '12')","(140, '11')","(60, '05')","(106, '09')","(41, '03')","(51, '04')","(160, '11')","(228, '12')","(43, '03')","(81, '07')","(105, '09')","(121, '10')"
52,"(219, '12')","(152, '11')","(83, '07')","(16, '01')","(97, '09')","(122, '10')","(155, '11')","(234, '12')","(19, '01')","(76, '07')","(20, '02')","(72, '06')"
53,"(181, '12')","(168, '11')","(75, '07')","(123, '10')","(89, '08')","(59, '05')","(148, '11')","(205, '12')","(118, '10')","(18, '01')","(78, '07')","(38, '03')"
54,"(222, '12')","(146, '11')","(57, '05')","(115, '10')","(28, '03')","(100, '09')","(145, '11')","(200, '12')","(33, '03')","(87, '07')","(3, '01')","(119, '10')"
55,"(236, '12')","(151, '11')","(68, '05')","(4, '01')","(52, '04')","(30, '03')","(133, '11')","(174, '12')","(48, '03')","(73, '06')","(103, '09')","(1, '01')"
56,"(207, '12')","(143, '11')","(88, '07')","(39, '03')","(21, '02')","(108, '09')","(157, '11')","(232, '12')","(44, '03')","(111, '09')","(93, '08')","(15, '01')"
57,"(231, '12')","(138, '11')","(91, '08')","(114, '10')","(47, '03')","(102, '09')","(154, '11')","(214, '12')","(27, '03')","(82, '07')","(55, '05')","(8, '01')"
58,"(198, '12')","(167, '11')","(125, '10')","(10, '01')","(113, '09')","(31, '03')","(159, '11')","(206, '12')","(24, '02')","(130, '10')","(34, '03')","(53, '04')"
59,"(182, '12')","(134, '11')","(2, '01')","(61, '05')","(37, '03')","(124, '10')","(132, '11')","(229, '12')","(46, '03')","(13, '01')","(65, '05')","(50, '04')"
60,"(210, '12')","(156, '11')","(90, '08')","(107, '09')","(29, '03')","(62, '05')","(136, '11')","(201, '12')","(66, '05')","(14, '01')","(129, '10')","(77, '07')"
61,"(216, '12')","(158, '11')","(45, '03')","(94, '08')","(9, '01')","(64, '05')","(165, '11')","(184, '12')","(54, '04')","(128, '10')","(109, '09')","(32, '03')"
62,"(177, '12')","(131, '11')","(86, '07')","(5, '01')","(69, '05')","(104, '09')","(136, '11')","(178, '12')","(71, '05')","(79, '07')","(74, '06')","(96, '08')"
63,"(218, '12')","(162, '11')","(116, '10')","(63, '05')","(35, '03')","(101, '09')","(134, '11')","(199, '12')","(98, '09')","(49, '04')","(58, '05')","(95, '08')"
64,"(192, '12')","(152, '11')","(85, '07')","(7, '01')","(120, '10')","(26, '03')","(160, '11')","(215, '12')","(117, '10')","(22, '02')","(12, '01')","(94, '08')"
65,"(227, '12')","(148, '11')","(25, '03')","(126, '10')","(97, '09')","(51, '04')","(133, '11')","(226, '12')","(112, '09')","(42, '03')","(85, '07')","(18, '01')"
66,"(183, '12')","(161, '11')","(36, '03')","(115, '10')","(90, '08')","(81, '07')","(168, '11')","(194, '12')","(125, '10')","(105, '09')","(2, '01')","(42, '03')"
67,"(172, '12')","(140, '11')","(19, '01')","(77, '07')","(93, '08')","(100, '09')","(155, '11')","(187, '12')","(106, '09')","(44, '03')","(119, '10')","(55, '05')"
68,"(212, '12')","(167, '11')","(91, '08')","(1, '01')","(23, '02')","(98, '09')","(156, '11')","(235, '12')","(104, '09')","(117, '10')","(7, '01')","(27, '03')"
69,"(185, '12')","(146, '11')","(12, '01')","(69, '05')","(20, '02')","(123, '10')","(165, '11')","(223, '12')","(118, '10')","(6, '01')","(96, '08')","(50, '04')"
70,"(230, '12')","(139, '11')","(61, '05')","(32, '03')","(95, '08')","(72, '06')","(164, '11')","(191, '12')","(109, '09')","(59, '05')","(21, '02')","(26, '03')"
71,"(194, '12')","(143, '11')","(80, '07')","(4, '01')","(70, '05')","(101, '09')","(145, '11')","(179, '12')","(52, '04')","(107, '09')","(124, '10')","(82, '07')"
72,"(197, '12')","(138, '11')","(75, '07')","(122, '10')","(40, '03')","(9, '01')","(141, '11')","(213, '12')","(129, '10')","(63, '05')","(87, '07')","(99, '09')"
73,"(187, '12')","(147, '11')","(15, '01')","(114, '10')","(56, '05')","(53, '04')","(150, '11')","(173, '12')","(29, '03')","(8, '01')","(88, '07')","(110, '09')"
74,"(215, '12')","(169, '11')","(11, '01')","(25, '03')","(84, '07')","(121, '10')","(151, '11')","(199, '12')","(128, '10')","(71, '05')","(49, '04')","(113, '09')"
75,"(193, '12')","(154, '11')","(3, '01')","(28, '03')","(126, '10')","(111, '09')","(137, '11')","(208, '12')","(57, '05')","(89, '08')","(34, '03')","(76, '07')"
76,"(204, '12')","(166, '11')","(31, '03')","(17, '01')","(116, '10')","(74, '06')","(144, '11')","(227, '12')","(14, '01')","(102, '09')","(33, '03')","(92, '08')"
77,"(220, '12')","(157, '11')","(24, '02')","(54, '04')","(83, '07')","(39, '03')","(163, '11')","(198, '12')","(67, '05')","(130, '10')","(38, '03')","(79, '07')"
78,"(228, '12')","(135, '11')","(108, '09')","(30, '03')","(127, '10')","(13, '01')","(159, '11')","(207, '12')","(22, '02')","(65, '05')","(41, '03')","(120, '10')"
79,"(181, '12')","(149, '11')","(73, '06')","(103, '09')","(36, '03')","(66, '05')","(132, '11')","(226, '12')","(16, '01')","(48, '03')","(64, '05')","(86, '07')"
80,"(214, '12')","(142, '11')","(68, '05')","(78, '07')","(37, '03')","(10, '01')","(153, '11')","(182, '12')","(46, '03')","(58, '05')","(5, '01')","(116, '10')"
81,"(229, '12')","(158, '11')","(43, '03')","(60, '05')","(124, '10')","(7, '01')","(161, '11')","(219, '12')","(62, '05')","(45, '03')","(112, '09')","(96, '08')"
82,"(171, '12')","(133, '11')","(47, '03')","(66, '05')","(122, '10')","(13, '01')","(135, '11')","(203, '12')","(3, '01')","(35, '03')","(92, '08')","(64, '05')"
83,"(177, '12')","(131, '11')","(43, '03')","(22, '02')","(90, '08')","(9, '01')","(154, '11')","(189, '12')","(113, '09')","(54, '04')","(80, '07')","(114, '10')"
84,"(232, '12')","(134, '11')","(128, '10')","(72, '06')","(21, '02')","(35, '03')","(141, '11')","(209, '12')","(105, '09')","(52, '04')","(119, '10')","(65, '05')"
85,"(180, '12')","(149, '11')","(57, '05')","(88, '07')","(117, '10')","(2, '01')","(163, '11')","(222, '12')","(82, '07')","(63, '05')","(51, '04')","(129, '10')"
86,"(210, '12')","(162, '11')","(120, '10')","(84, '07')","(28, '03')","(74, '06')","(152, '11')","(233, '12')","(50, '04')","(61, '05')","(127, '10')","(94, '08')"
87,"(218, '12')","(143, '11')","(8, '01')","(95, '08')","(20, '02')","(79, '07')","(151, '11')","(192, '12')","(70, '05')","(106, '09')","(91, '08')","(27, '03')"
88,"(188, '12')","(138, '11')","(67, '05')","(24, '02')","(103, '09')","(5, '01')","(153, '11')","(217, '12')","(39, '03')","(15, '01')","(118, '10')","(108, '09')"
89,"(211, '12')","(147, '11')","(85, '07')","(38, '03')","(56, '05')","(93, '08')","(157, '11')","(236, '12')","(23, '02')","(58, '05')","(107, '09')","(41, '03')"
90,"(205, '12')","(144, '11')","(47, '03')","(59, '05')","(81, '07')","(16, '01')","(155, '11')","(178, '12')","(86, '07')","(104, '09')","(10, '01')","(126, '10')"
91,"(231, '12')","(148, '11')","(71, '05')","(115, '10')","(77, '07')","(45, '03')","(142, '11')","(221, '12')","(101, '09')","(12, '01')","(30, '03')","(89, '08')"
92,"(216, '12')","(168, '11')","(69, '05')","(75, '07')","(26, '03')","(53, '04')","(169, '11')","(186, '12')","(130, '10')","(44, '03')","(1, '01')","(62, '05')"
93,"(200, '12')","(140, '11')","(98, '09')","(11, '01')","(32, '03')","(68, '05')","(146, '11')","(234, '12')","(76, '07')","(25, '03')","(100, '09')","(123, '10')"
94,"(195, '12')","(137, '11')","(46, '03')","(97, '09')","(125, '10')","(49, '04')","(159, '11')","(176, '12')","(4, '01')","(36, '03')","(99, '09')","(83, '07')"
95,"(224, '12')","(150, '11')","(111, '09')","(55, '05')","(87, '07')","(121, '10')","(166, '11')","(201, '12')","(73, '06')","(78, '07')","(29, '03')","(109, '09')"
96,"(170, '12')","(145, '11')","(34, '03')","(60, '05')","(14, '01')","(110, '09')","(136, '11')","(206, '12')","(18, '01')","(40, '03')","(102, '09')","(118, '10')"
97,"(225, '12')","(167, '11')","(48, '03')","(6, '01')","(92, '08')","(100, '09')","(156, '11')","(184, '12')","(17, '01')","(31, '03')","(105, '09')","(78, '07')"
98,"(175, '12')","(160, '11')","(37, '03')","(19, '01')","(76, '07')","(59, '05')","(164, '11')","(196, '12')","(71, '05')","(42, '03')","(102, '09')","(96, '08')"
99,"(183, '12')","(158, '11')","(33, '03')","(111, '09')","(65, '05')","(9, '01')","(132, '11')","(202, '12')","(11, '01')","(95, '08')","(49, '04')","(27, '03')"
100,"(172, '12')","(139, '11')","(62, '05')","(80, '07')","(127, '10')","(8, '01')","(165, '11')","(190, '12')","(97, '09')","(41, '03')","(61, '05')","(87, '07')"
