idx,seq1_1,seq1_2,seq1_3,seq1_4,seq1_5,seq1_6,seq2_1,seq2_2,seq2_3,seq2_4,seq2_5,seq2_6
22,"(179, '12')","(102, '9')","(30, '3')","(2, '1')","(156, '11')","(115, '10')","(108, '10')","(127, '11')","(173, '12')","(79, '7')","(31, '3')","(98, '9')"
23,"(35, '3')","(88, '8')","(126, '11')","(205, '12')","(78, '7')","(51, '5')","(3, '1')","(68, '6')","(188, '12')","(135, '11')","(101, '9')","(76, '7')"
24,"(21, '2')","(34, '3')","(55, '5')","(145, '11')","(203, '12')","(114, '10')","(153, '11')","(118, '10')","(6, '1')","(213, '12')","(64, '5')","(104, '9')"
25,"(191, '12')","(120, '10')","(42, '3')","(158, '11')","(7, '1')","(63, '5')","(57, '5')","(45, '3')","(133, '11')","(185, '12')","(90, '9')","(70, '7')"
26,"(92, '9')","(80, '7')","(41, '3')","(83, '8')","(215, '12')","(117, '10')","(22, '2')","(116, '10')","(219, '12')","(96, '9')","(151, '11')","(25, '3')"
27,"(33, '3')","(8, '1')","(162, '12')","(69, '7')","(148, '11')","(93, '9')","(86, '8')","(146, '11')","(32, '3')","(94, '9')","(181, '12')","(10, '1')"
28,"(106, '10')","(87, '8')","(17, '1')","(27, '3')","(211, '12')","(152, '11')","(85, '8')","(66, '5')","(95, '9')","(136, '11')","(113, '10')","(180, '12')"
29,"(138, '11')","(56, '5')","(40, '3')","(1, '1')","(119, '10')","(168, '12')","(26, '3')","(77, '7')","(14, '1')","(218, '12')","(20, '2')","(132, '11')"
30,"(175, '12')","(54, '5')","(100, '9')","(24, '3')","(147, '11')","(12, '1')","(122, '11')","(36, '3')","(118, '10')","(15, '1')","(161, '12')","(19, '2')"
31,"(207, '12')","(51, '5')","(123, '11')","(111, '10')","(38, '3')","(50, '4')","(154, '11')","(105, '10')","(209, '12')","(97, '9')","(84, '8')","(2, '1')"
32,"(26, '3')","(222, '12')","(16, '1')","(125, '11')","(79, '7')","(53, '5')","(117, '10')","(149, '11')","(74, '7')","(206, '12')","(27, '3')","(98, '9')"
33,"(155, '11')","(4, '1')","(55, '5')","(76, '7')","(30, '3')","(172, '12')","(198, '12')","(68, '6')","(14, '1')","(91, '9')","(82, '8')","(140, '11')"
34,"(48, '4')","(45, '3')","(187, '12')","(129, '11')","(95, '9')","(8, '1')","(101, '9')","(112, '10')","(137, '11')","(165, '12')","(21, '2')","(63, '5')"
35,"(103, '9')","(15, '1')","(218, '12')","(67, '6')","(60, '5')","(157, '11')","(22, '2')","(36, '3')","(131, '11')","(75, '7')","(49, '4')","(200, '12')"
36,"(114, '10')","(66, '5')","(40, '3')","(83, '8')","(201, '12')","(134, '11')","(39, '3')","(69, '7')","(59, '5')","(1, '1')","(121, '11')","(181, '12')"
37,"(61, '5')","(44, '3')","(119, '10')","(144, '11')","(7, '1')","(203, '12')","(24, '3')","(18, '1')","(46, '4')","(193, '12')","(120, '10')","(142, '11')"
38,"(150, '11')","(102, '9')","(106, '10')","(191, '12')","(78, '7')","(13, '1')","(159, '12')","(47, '4')","(58, '5')","(143, '11')","(34, '3')","(110, '10')"
39,"(86, '8')","(141, '11')","(6, '1')","(72, '7')","(220, '12')","(57, '5')","(113, '10')","(168, '12')","(32, '3')","(89, '9')","(139, '11')","(73, '7')"
40,"(99, '9')","(43, '3')","(130, '11')","(70, '7')","(116, '10')","(183, '12')","(31, '3')","(77, '7')","(198, '12')","(96, '9')","(5, '1')","(124, '11')"
41,"(52, '5')","(209, '12')","(145, '11')","(33, '3')","(17, '1')","(93, '9')","(37, '3')","(128, '11')","(186, '12')","(11, '1')","(81, '7')","(65, '5')"
42,"(29, '3')","(172, '12')","(87, '8')","(107, '10')","(9, '1')","(157, '11')","(71, '7')","(128, '11')","(202, '12')","(88, '8')","(41, '3')","(94, '9')"
43,"(189, '12')","(104, '9')","(153, '11')","(38, '3')","(56, '5')","(108, '10')","(35, '3')","(10, '1')","(217, '12')","(121, '11')","(85, '8')","(62, '5')"
44,"(115, '10')","(175, '12')","(3, '1')","(126, '11')","(92, '9')","(25, '3')","(80, '7')","(148, '11')","(64, '5')","(204, '12')","(28, '3')","(109, '10')"
45,"(146, '11')","(8, '1')","(90, '9')","(23, '3')","(118, '10')","(170, '12')","(166, '12')","(21, '2')","(42, '3')","(61, '5')","(69, '7')","(134, '11')"
46,"(90, '9')","(68, '6')","(79, '7')","(222, '12')","(132, '11')","(2, '1')","(112, '10')","(77, '7')","(20, '2')","(133, '11')","(163, '12')","(36, '3')"
47,"(144, '11')","(44, '3')","(16, '1')","(120, '10')","(162, '12')","(93, '9')","(195, '12')","(116, '10')","(103, '9')","(73, '7')","(156, '11')","(1, '1')"
48,"(140, '11')","(71, '7')","(91, '9')","(83, '8')","(224, '12')","(42, '3')","(167, '12')","(86, '8')","(78, '7')","(31, '3')","(147, '11')","(98, '9')"
49,"(15, '1')","(219, '12')","(29, '3')","(127, '11')","(54, '5')","(22, '2')","(117, '10')","(136, '11')","(64, '5')","(174, '12')","(74, '7')","(100, '9')"
50,"(155, '11')","(212, '12')","(67, '6')","(80, '7')","(109, '10')","(60, '5')","(178, '12')","(151, '11')","(55, '5')","(113, '10')","(33, '3')","(95, '9')"
51,"(142, '11')","(75, '7')","(57, '5')","(88, '8')","(194, '12')","(23, '3')","(169, '12')","(119, '10')","(81, '7')","(18, '1')","(154, '11')","(52, '5')"
52,"(63, '5')","(25, '3')","(84, '8')","(171, '12')","(137, '11')","(115, '10')","(85, '8')","(9, '1')","(65, '5')","(138, '11')","(206, '12')","(28, '3')"
53,"(24, '3')","(124, '11')","(49, '4')","(210, '12')","(3, '1')","(114, '10')","(104, '9')","(197, '12')","(59, '5')","(129, '11')","(37, '3')","(12, '1')"
54,"(32, '3')","(152, '11')","(14, '1')","(58, '5')","(179, '12')","(46, '4')","(66, '5')","(182, '12')","(87, '8')","(89, '9')","(150, '11')","(11, '1')"
55,"(19, '2')","(45, '3')","(207, '12')","(106, '10')","(82, '8')","(125, '11')","(51, '5')","(6, '1')","(123, '11')","(41, '3')","(111, '10')","(164, '12')"
56,"(149, '11')","(48, '4')","(76, '7')","(216, '12')","(40, '3')","(101, '9')","(161, '12')","(7, '1')","(56, '5')","(135, '11')","(108, '10')","(35, '3')"
57,"(62, '5')","(4, '1')","(27, '3')","(92, '9')","(122, '11')","(213, '12')","(96, '9')","(72, '7')","(5, '1')","(43, '3')","(208, '12')","(158, '11')"
58,"(102, '9')","(131, '11')","(38, '3')","(205, '12')","(13, '1')","(50, '4')","(107, '10')","(211, '12')","(17, '1')","(141, '11')","(70, '7')","(97, '9')"
59,"(34, '3')","(105, '10')","(53, '5')","(173, '12')","(143, '11')","(94, '9')","(110, '10')","(10, '1')","(26, '3')","(130, '11')","(177, '12')","(47, '4')"
60,"(214, '12')","(99, '9')","(39, '3')","(141, '11')","(119, '10')","(12, '1')","(139, '11')","(30, '3')","(54, '5')","(190, '12')","(6, '1')","(22, '2')"
61,"(160, '12')","(27, '3')","(56, '5')","(136, '11')","(68, '6')","(7, '1')","(149, '11')","(98, '9')","(35, '3')","(180, '12')","(9, '1')","(83, '8')"
62,"(36, '3')","(196, '12')","(120, '10')","(90, '9')","(125, '11')","(18, '1')","(51, '5')","(150, '11')","(67, '6')","(19, '2')","(215, '12')","(73, '7')"
63,"(33, '3')","(15, '1')","(85, '8')","(192, '12')","(118, '10')","(139, '11')","(17, '1')","(52, '5')","(69, '7')","(155, '11')","(29, '3')","(199, '12')"
64,"(103, '9')","(50, '4')","(184, '12')","(25, '3')","(64, '5')","(132, '11')","(109, '10')","(4, '1')","(133, '11')","(49, '4')","(97, '9')","(185, '12')"
65,"(42, '3')","(70, '7')","(108, '10')","(223, '12')","(144, '11')","(21, '2')","(100, '9')","(107, '10')","(30, '3')","(140, '11')","(188, '12')","(62, '5')"
66,"(37, '3')","(128, '11')","(8, '1')","(221, '12')","(102, '9')","(46, '4')","(72, '7')","(176, '12')","(113, '10')","(148, '11')","(57, '5')","(28, '3')"
67,"(114, '10')","(53, '5')","(74, '7')","(193, '12')","(31, '3')","(127, '11')","(66, '5')","(38, '3')","(111, '10')","(156, '11')","(96, '9')","(177, '12')"
68,"(152, '11')","(48, '4')","(1, '1')","(75, '7')","(180, '12')","(32, '3')","(198, '12')","(20, '2')","(99, '9')","(60, '5')","(130, '11')","(5, '1')"
69,"(158, '11')","(16, '1')","(104, '9')","(212, '12')","(44, '3')","(61, '5')","(208, '12')","(110, '10')","(87, '8')","(123, '11')","(58, '5')","(89, '9')"
70,"(145, '11')","(11, '1')","(91, '9')","(223, '12')","(78, '7')","(24, '3')","(182, '12')","(101, '9')","(76, '7')","(142, '11')","(105, '10')","(59, '5')"
71,"(137, '11')","(117, '10')","(217, '12')","(81, '7')","(92, '9')","(55, '5')","(181, '12')","(23, '3')","(122, '11')","(63, '5')","(86, '8')","(47, '4')"
72,"(77, '7')","(10, '1')","(126, '11')","(172, '12')","(88, '8')","(65, '5')","(39, '3')","(71, '7')","(168, '12')","(131, '11')","(106, '10')","(95, '9')"
73,"(93, '9')","(40, '3')","(115, '10')","(121, '11')","(2, '1')","(209, '12')","(13, '1')","(112, '10')","(45, '3')","(183, '12')","(94, '9')","(157, '11')"
74,"(26, '3')","(82, '8')","(194, '12')","(143, '11')","(14, '1')","(80, '7')","(116, '10')","(79, '7')","(151, '11')","(170, '12')","(84, '8')","(3, '1')"
75,"(117, '10')","(34, '3')","(88, '8')","(4, '1')","(146, '11')","(192, '12')","(50, '4')","(52, '5')","(17, '1')","(41, '3')","(159, '12')","(135, '11')"
76,"(188, '12')","(43, '3')","(113, '10')","(154, '11')","(1, '1')","(86, '8')","(129, '11')","(99, '9')","(70, '7')","(189, '12')","(118, '10')","(59, '5')"
77,"(98, '9')","(18, '1')","(68, '6')","(46, '4')","(186, '12')","(124, '11')","(65, '5')","(42, '3')","(102, '9')","(84, '8')","(147, '11')","(162, '12')"
78,"(173, '12')","(69, '7')","(31, '3')","(83, '8')","(153, '11')","(119, '10')","(138, '11')","(57, '5')","(89, '9')","(43, '3')","(201, '12')","(5, '1')"
79,"(12, '1')","(191, '12')","(122, '11')","(90, '9')","(20, '2')","(25, '3')","(85, '8')","(134, '11')","(196, '12')","(77, '7')","(35, '3')","(97, '9')"
80,"(11, '1')","(22, '2')","(26, '3')","(214, '12')","(154, '11')","(100, '9')","(34, '3')","(78, '7')","(8, '1')","(145, '11')","(203, '12')","(111, '10')"
81,"(13, '1')","(112, '10')","(32, '3')","(224, '12')","(87, '8')","(126, '11')","(74, '7')","(36, '3')","(115, '10')","(137, '11')","(58, '5')","(213, '12')"
82,"(110, '10')","(33, '3')","(79, '7')","(136, '11')","(218, '12')","(95, '9')","(93, '9')","(64, '5')","(21, '2')","(178, '12')","(156, '11')","(14, '1')"
83,"(16, '1')","(94, '9')","(109, '10')","(71, '7')","(216, '12')","(155, '11')","(47, '4')","(7, '1')","(41, '3')","(67, '6')","(129, '11')","(220, '12')"
84,"(150, '11')","(63, '5')","(174, '12')","(105, '10')","(37, '3')","(96, '9')","(199, '12')","(19, '2')","(148, '11')","(81, '7')","(9, '1')","(62, '5')"
85,"(141, '11')","(39, '3')","(15, '1')","(185, '12')","(56, '5')","(103, '9')","(179, '12')","(53, '5')","(48, '4')","(152, '11')","(106, '10')","(3, '1')"
86,"(116, '10')","(151, '11')","(28, '3')","(60, '5')","(2, '1')","(221, '12')","(40, '3')","(222, '12')","(114, '10')","(72, '7')","(101, '9')","(131, '11')"
87,"(144, '11')","(215, '12')","(108, '10')","(73, '7')","(51, '5')","(38, '3')","(219, '12')","(135, '11')","(29, '3')","(92, '9')","(76, '7')","(55, '5')"
88,"(121, '11')","(161, '12')","(66, '5')","(23, '3')","(6, '1')","(82, '8')","(184, '12')","(139, '11')","(10, '1')","(80, '7')","(91, '9')","(45, '3')"
89,"(163, '12')","(123, '11')","(104, '9')","(27, '3')","(107, '10')","(75, '7')","(130, '11')","(167, '12')","(44, '3')","(61, '5')","(49, '4')","(120, '10')"
90,"(54, '5')","(157, '11')","(30, '3')","(205, '12')","(89, '9')","(9, '1')","(24, '3')","(204, '12')","(15, '1')","(138, '11')","(119, '10')","(93, '9')"
91,"(79, '7')","(24, '3')","(105, '10')","(48, '4')","(195, '12')","(147, '11')","(83, '8')","(71, '7')","(18, '1')","(103, '9')","(146, '11')","(164, '12')"
92,"(42, '3')","(5, '1')","(73, '7')","(142, '11')","(96, '9')","(175, '12')","(101, '9')","(23, '3')","(12, '1')","(176, '12')","(61, '5')","(124, '11')"
93,"(60, '5')","(125, '11')","(81, '7')","(10, '1')","(109, '10')","(200, '12')","(77, '7')","(211, '12')","(107, '10')","(21, '2')","(95, '9')","(132, '11')"
94,"(20, '2')","(118, '10')","(94, '9')","(165, '12')","(158, '11')","(39, '3')","(110, '10')","(34, '3')","(65, '5')","(149, '11')","(206, '12')","(67, '6')"
95,"(127, '11')","(92, '9')","(207, '12')","(17, '1')","(40, '3')","(115, '10')","(190, '12')","(85, '8')","(133, '11')","(44, '3')","(50, '4')","(98, '9')"
96,"(76, '7')","(38, '3')","(143, '11')","(58, '5')","(202, '12')","(108, '10')","(4, '1')","(117, '10')","(166, '12')","(74, '7')","(140, '11')","(91, '9')"
97,"(128, '11')","(210, '12')","(26, '3')","(1, '1')","(99, '9')","(106, '10')","(160, '12')","(134, '11')","(120, '10')","(19, '2')","(13, '1')","(62, '5')"
98,"(121, '11')","(14, '1')","(75, '7')","(169, '12')","(27, '3')","(52, '5')","(187, '12')","(33, '3')","(104, '9')","(153, '11')","(46, '4')","(69, '7')"
99,"(78, '7')","(156, '11')","(35, '3')","(171, '12')","(112, '10')","(56, '5')","(54, '5')","(197, '12')","(82, '8')","(132, '11')","(22, '2')","(25, '3')"
100,"(3, '1')","(197, '12')","(63, '5')","(84, '8')","(142, '11')","(97, '9')","(37, '3')","(145, '11')","(88, '8')","(59, '5')","(180, '12')","(8, '1')"
