vpId,seqs,ratings,count,sum,avgRatings,max,ratios,countRatios,sumRatios,avgRatios,maxRatios,,vpId,,avgRatios
23,"[[23, 14, 70, 133, 56, 89], [103, 23, 134, 10, 80, 59], [76, 23, 55, 152, 4, 90], [3, 154, 89, 61, 20, 23]]","[83, 61, 70, 24]",4,238,59.5,83,"[0.8924731182795699, 0.7625, 0.7608695652173914, 0.25806451612903225]",4,2.6739072,0.6684768,0.892473118,,23,66.84767999,0.6684768
24,"[[8, 78, 67, 158, 24, 64], [3, 64, 73, 90, 24, 128]]","[12, 91]",2,103,51.5,91,"[0.12121212121212122, 0.9191919191919192]",2,1.04040404,0.52020202,0.919191919,,24,52.02020202,0.52020202
25,"[[25, 61, 152, 91, 80, 17], [156, 25, 61, 78, 95, 19], [57, 25, 128, 2, 47, 93], [11, 21, 92, 122, 25, 62], [25, 85, 19, 18, 122, 90], [25, 57, 101, 84, 71, 127]]","[40, 64, 15, 42, 93, 37]",6,291,48.5,93,"[0.49382716049382713, 0.7032967032967034, 0.1875, 0.4329896907216495, 1.0, 0.3894736842105263]",6,3.207087239,0.53451454,1,,25,53.45145398,0.53451454
26,"[[86, 77, 11, 134, 26, 20], [87, 143, 58, 26, 68, 12], [135, 16, 84, 95, 26, 58], [21, 140, 83, 65, 14, 26]]","[26, 84, 33, 23]",4,166,41.5,84,"[0.2708333333333333, 1.0, 0.4024390243902439, 0.27380952380952384]",4,1.947081882,0.48677047,1,,26,48.67704704,0.48677047
27,"[[14, 51, 143, 81, 27, 20], [27, 145, 85, 99, 51, 8], [51, 17, 81, 27, 133, 101], [27, 2, 82, 75, 137, 102]]","[75, 31, 54, 37]",4,197,49.25,75,"[0.8823529411764706, 0.3780487804878049, 0.5192307692307693, 0.4157303370786517]",4,2.195362828,0.548840707,0.882352941,,27,54.8840707,0.548840707
28,"[[53, 1, 28, 79, 100, 152], [86, 28, 94, 11, 62, 124]]","[65, 88]",2,153,76.5,88,"[0.6310679611650486, 0.946236559139785]",2,1.57730452,0.78865226,0.946236559,,28,78.86522602,0.78865226
29,"[[73, 29, 86, 10, 63, 136], [157, 29, 66, 85, 22, 74], [9, 98, 29, 72, 59, 135]]","[76, 47, 10]",3,133,44.33333333,76,"[1.0, 0.49473684210526314, 0.12048192771084337]",3,1.61521877,0.538406257,1,,29,53.84062566,0.538406257
30,"[[30, 74, 135, 47, 104, 14], [66, 15, 126, 30, 85, 68], [60, 78, 8, 93, 30, 138]]","[82, 0, 69]",3,151,50.33333333,82,"[0.8913043478260869, 0.0, 0.8734177215189873]",3,1.764722069,0.58824069,0.891304348,,30,58.82406898,0.58824069
31,"[[94, 77, 59, 31, 6, 125], [31, 95, 64, 16, 137, 87], [5, 31, 77, 20, 83, 123], [68, 31, 12, 69, 136, 84]]","[0, 48, 74, 10]",4,132,33,74,"[0.0, 0.4485981308411215, 0.8409090909090909, 0.10989010989010989]",4,1.399397332,0.349849333,0.840909091,,31,34.98493329,0.349849333
32,"[[66, 140, 103, 32, 74, 1], [69, 103, 32, 137, 3, 52], [93, 75, 133, 32, 63, 5]]","[37, 36, 86]",3,159,53,86,"[0.4111111111111111, 0.5, 0.86]",3,1.771111111,0.59037037,0.86,,32,59.03703704,0.59037037
33,"[[49, 87, 13, 52, 149, 33], [80, 99, 121, 48, 33, 14], [132, 53, 70, 33, 4, 103]]","[88, 73, 49]",3,210,70,88,"[1.0, 0.6239316239316239, 0.5157894736842106]",3,2.139721098,0.713240366,1,,33,71.32403659,0.713240366
34,"[[123, 80, 7, 89, 56, 34]]",[44],1,44,44,44,[0.5116279069767442],1,0.511627907,0.511627907,0.511627907,,34,51.1627907,0.511627907
35,"[[96, 88, 35, 71, 4, 146], [4, 81, 35, 153, 104, 51]]","[87, 62]",2,149,74.5,87,"[0.8613861386138614, 0.7294117647058823]",2,1.590797903,0.795398952,0.861386139,,35,79.53989517,0.795398952
36,"[[63, 6, 22, 157, 77, 36], [101, 83, 36, 127, 52, 13], [96, 36, 7, 55, 147, 46], [65, 144, 7, 78, 83, 36]]","[84, 87, 44, 25]",4,240,60,87,"[1.0, 1.0, 0.4536082474226804, 0.25252525252525254]",4,2.7061335,0.676533375,1,,36,67.6533375,0.676533375
37,"[[37, 136, 17, 77, 84, 52], [14, 37, 20, 104, 80, 138], [37, 9, 134, 65, 76, 89]]","[43, 43, 46]",3,132,44,46,"[0.44329896907216493, 0.4942528735632184, 0.5897435897435898]",3,1.527295432,0.509098477,0.58974359,,37,50.90984775,0.509098477
38,"[[91, 38, 79, 88, 156, 19], [38, 93, 61, 47, 7, 123], [104, 142, 69, 2, 63, 38], [2, 125, 49, 38, 73, 92]]","[66, 59, 4, 0]",4,129,32.25,66,"[0.7252747252747253, 0.6704545454545454, 0.0425531914893617, 0.0]",4,1.438282462,0.359570616,0.725274725,,38,35.95706156,0.359570616
39,"[[49, 104, 4, 132, 52, 39], [50, 60, 72, 39, 154, 67], [125, 60, 39, 10, 102, 79], [46, 39, 6, 58, 122, 79]]","[4, 21, 50, 37]",4,112,28,50,"[0.05063291139240506, 0.22826086956521738, 0.6493506493506493, 0.5211267605633803]",4,1.449371191,0.362342798,0.649350649,,39,36.23427977,0.362342798
40,"[[136, 40, 81, 17, 101, 51], [40, 49, 100, 152, 12, 53], [12, 40, 141, 65, 70, 101], [63, 140, 40, 88, 5, 69], [130, 47, 22, 102, 40, 13]]","[13, 43, 23, 76, 0]",5,155,31,76,"[0.17105263157894737, 0.5443037974683544, 0.24731182795698925, 0.6495726495726496, 0.0]",5,1.612240907,0.322448181,0.64957265,,40,32.24481813,0.322448181
41,"[[75, 151, 16, 64, 41, 91], [125, 73, 53, 1, 87, 41], [75, 98, 41, 145, 82, 59], [126, 67, 41, 18, 100, 85], [78, 8, 93, 61, 143, 41]]","[0, 56, 51, 18, 12]",5,137,27.4,56,"[0.0, 0.717948717948718, 0.4636363636363636, 0.2465753424657534, 0.14634146341463414]",5,1.574501887,0.314900377,0.717948718,,41,31.49003775,0.314900377
42,"[[101, 51, 42, 150, 88, 16], [5, 143, 103, 72, 42, 82], [42, 102, 62, 74, 8, 156], [156, 60, 99, 17, 75, 42]]","[64, 40, 54, 13]",4,171,42.75,64,"[0.7272727272727273, 0.4878048780487805, 0.6428571428571429, 0.13131313131313133]",4,1.989247879,0.49731197,0.727272727,,42,49.73119699,0.49731197
43,"[[94, 65, 129, 20, 83, 43], [98, 126, 43, 82, 18, 55], [71, 95, 130, 16, 43, 54], [43, 103, 4, 70, 158, 53], [155, 72, 1, 67, 56, 43]]","[29, 20, 91, 50, 0]",5,190,38,91,"[0.3118279569892473, 0.21739130434782608, 0.9479166666666666, 0.5494505494505495, 0.0]",5,2.026586477,0.405317295,0.947916667,,43,40.53172955,0.405317295
44,"[[96, 74, 44, 59, 151, 88], [44, 74, 53, 84, 127, 98], [146, 47, 7, 71, 60, 44], [77, 10, 44, 50, 129, 93], [9, 57, 149, 73, 44, 104]]","[76, 41, 92, 81, 72]",5,362,72.4,92,"[0.8539325842696629, 0.4606741573033708, 1.0, 1.0, 0.7128712871287128]",5,4.027478029,0.805495606,1,,44,80.54956057,0.805495606
45,"[[141, 12, 84, 100, 45, 48], [46, 45, 56, 86, 148, 16], [59, 100, 152, 18, 87, 45]]","[83, 51, 90]",3,224,74.66666667,90,"[1.0, 0.5730337078651685, 0.9782608695652174]",3,2.551294577,0.850431526,1,,45,85.04315258,0.850431526
46,"[[9, 97, 59, 46, 142, 23], [46, 45, 56, 86, 148, 16], [46, 39, 6, 58, 122, 79], [96, 36, 7, 55, 147, 46], [139, 46, 52, 45, 11, 74]]","[83, 46, 0, 90, 58]",5,277,55.4,90,"[1.0, 0.5287356321839081, 0.0, 1.0, 0.5918367346938775]",5,3.120572367,0.624114473,1,,46,62.41144734,0.624114473
47,"[[57, 25, 128, 2, 47, 93], [30, 74, 135, 47, 104, 14], [146, 47, 7, 71, 60, 44], [38, 93, 61, 47, 7, 123], [130, 47, 22, 102, 40, 13], [53, 144, 47, 77, 37, 14]]","[0, 15, 46, 54, 13, 0]",6,128,21.33333333,54,"[0.0, 0.1595744680851064, 0.5476190476190477, 0.6666666666666666, 0.14130434782608695, 0.0]",6,1.51516453,0.252527422,0.666666667,,47,25.25274217,0.252527422
48,"[[141, 12, 84, 100, 45, 48], [80, 99, 121, 48, 33, 14], [86, 124, 60, 48, 39, 21]]","[52, 30, 0]",3,82,27.33333333,52,"[0.5591397849462365, 0.297029702970297, 0.0]",3,0.856169488,0.285389829,0.559139785,,48,28.53898293,0.285389829
49,"[[49, 104, 4, 132, 52, 39], [49, 87, 13, 52, 149, 33], [40, 49, 100, 152, 12, 53], [2, 125, 49, 38, 73, 92], [32, 92, 61, 145, 5, 49], [23, 1, 100, 139, 49, 52]]","[69, 44, 50, 21, 39, 23]",6,246,41,69,"[0.7419354838709677, 0.4835164835164835, 0.5319148936170213, 0.19626168224299065, 0.4642857142857143, 0.25]",6,2.667914258,0.444652376,0.741935484,,49,44.46523763,0.444652376
50,"[[50, 60, 72, 39, 154, 67], [144, 2, 96, 54, 50, 42], [19, 73, 50, 96, 10, 148], [77, 10, 44, 50, 129, 93]]","[60, 87, 59, 85]",4,291,72.75,87,"[0.7142857142857143, 0.8787878787878788, 0.5363636363636364, 1.0]",4,3.129437229,0.782359307,1,,50,78.23593074,0.782359307
51,"[[14, 51, 143, 81, 27, 20], [101, 51, 42, 150, 88, 16], [27, 145, 85, 99, 51, 8], [51, 17, 81, 27, 133, 101], [4, 81, 35, 153, 104, 51]]","[67, 0, 2, 12, 42]",5,123,24.6,67,"[0.7362637362637363, 0.0, 0.025974025974025976, 0.1643835616438356, 0.40384615384615385]",5,1.330467478,0.266093496,0.736263736,,51,26.60934955,0.266093496
52,"[[49, 104, 4, 132, 52, 39], [49, 87, 13, 52, 149, 33], [37, 136, 17, 77, 84, 52], [101, 83, 36, 127, 52, 13], [139, 46, 52, 45, 11, 74], [23, 1, 100, 139, 49, 52]]","[89, 87, 54, 36, 11, 15]",6,292,48.66666667,89,"[1.0, 0.8055555555555556, 0.4778761061946903, 0.4675324675324675, 0.14285714285714285, 0.20833333333333334]",6,3.102154605,0.517025768,1,,52,51.70257676,0.517025768
53,"[[44, 74, 53, 84, 127, 98], [53, 1, 28, 79, 100, 152], [125, 73, 53, 1, 87, 41], [132, 53, 70, 33, 4, 103], [53, 144, 47, 77, 37, 14]]","[50, 61, 38, 31, 56]",5,236,47.2,61,"[0.4807692307692308, 0.648936170212766, 0.36893203883495146, 0.34444444444444444, 0.6746987951807228]",5,2.517780679,0.503556136,0.674698795,,53,50.35561359,0.503556136
54,"[[69, 54, 150, 9, 37, 97], [144, 2, 96, 54, 50, 42], [71, 95, 130, 16, 43, 54], [30, 87, 141, 100, 18, 54]]","[29, 78, 14, 0]",4,121,30.25,78,"[0.3258426966292135, 0.8387096774193549, 0.1320754716981132, 0.0]",4,1.296627846,0.324156961,0.838709677,,54,32.41569614,0.324156961
55,"[[98, 126, 43, 82, 18, 55], [76, 23, 55, 152, 4, 90]]","[28, 71]",2,99,49.5,71,"[0.3111111111111111, 0.8160919540229885]",2,1.127203065,0.563601533,0.816091954,,55,56.36015326,0.563601533
56,"[[23, 14, 70, 133, 56, 89], [45, 22, 5, 93, 56, 144], [46, 45, 56, 86, 148, 16]]","[10, 0, 1]",3,11,3.666666667,10,"[0.11764705882352941, 0.0, 0.012195121951219513]",3,0.129842181,0.043280727,0.117647059,,56,4.328072692,0.043280727
57,"[[57, 25, 128, 2, 47, 93], [1, 96, 129, 57, 44, 81], [25, 57, 101, 84, 71, 127], [9, 57, 149, 73, 44, 104]]","[47, 0, 81, 23]",4,151,37.75,81,"[0.5164835164835165, 0.0, 0.8901098901098901, 0.23]",4,1.636593407,0.409148352,0.89010989,,57,40.91483516,0.409148352
58,"[[10, 132, 71, 58, 85, 90], [87, 143, 58, 26, 68, 12], [46, 39, 6, 58, 122, 79], [135, 16, 84, 95, 26, 58], [131, 58, 97, 15, 82, 39], [27, 15, 70, 58, 101, 151]]","[31, 37, 86, 90, 45, 90]",6,379,63.16666667,90,"[0.3163265306122449, 0.38144329896907214, 1.0, 0.8737864077669902, 0.5232558139534884, 0.9375]",6,4.032312051,0.672052009,1,,58,67.20520086,0.672052009
59,"[[96, 74, 44, 59, 151, 88], [94, 77, 59, 31, 6, 125], [9, 97, 59, 46, 142, 23], [103, 23, 134, 10, 80, 59], [75, 98, 41, 145, 82, 59], [9, 98, 29, 72, 59, 135], [59, 100, 152, 18, 87, 45]]","[53, 74, 51, 69, 66, 56, 1]",7,370,52.85714286,74,"[0.5888888888888889, 0.6324786324786325, 0.5151515151515151, 0.6330275229357798, 0.7586206896551724, 0.5656565656565656, 0.013157894736842105]",7,3.70698171,0.529568816,0.75862069,,59,52.95688156,0.529568816
60,"[[50, 60, 72, 39, 154, 67], [125, 60, 39, 10, 102, 79], [86, 124, 60, 48, 39, 21], [156, 60, 99, 17, 75, 42], [85, 3, 30, 154, 60, 90], [60, 78, 8, 93, 30, 138]]","[65, 44, 26, 0, 48, 52]",6,235,39.16666667,65,"[0.6989247311827957, 0.46808510638297873, 0.23636363636363636, 0.0, 0.5393258426966292, 0.5842696629213483]",6,2.52696898,0.421161497,0.698924731,,60,42.11614966,0.421161497
61,"[[25, 61, 152, 91, 80, 17], [156, 25, 61, 78, 95, 19], [38, 93, 61, 47, 7, 123], [3, 154, 89, 61, 20, 23], [32, 92, 61, 145, 5, 49], [78, 8, 93, 61, 143, 41]]","[27, 14, 57, 27, 86, 49]",6,260,43.33333333,86,"[0.2967032967032967, 0.16091954022988506, 0.76, 0.28125, 0.8037383177570093, 0.5764705882352941]",6,2.879081743,0.479846957,0.803738318,,61,47.98469572,0.479846957
62,"[[11, 21, 92, 122, 25, 62], [42, 102, 62, 74, 8, 156]]","[65, 0]",2,65,32.5,65,"[0.6372549019607843, 0.0]",2,0.637254902,0.318627451,0.637254902,,62,31.8627451,0.318627451
63,"[[73, 29, 86, 10, 63, 136], [104, 142, 69, 2, 63, 38], [15, 63, 154, 99, 29, 76]]","[35, 0, 0]",3,35,11.66666667,35,"[0.39325842696629215, 0.0, 0.0]",3,0.393258427,0.131086142,0.393258427,,63,13.10861423,0.131086142
64,"[[75, 151, 16, 64, 41, 91], [31, 95, 64, 16, 137, 87]]","[62, 14]",2,76,38,62,"[0.6888888888888889, 0.15730337078651685]",2,0.84619226,0.42309613,0.688888889,,64,42.30961298,0.42309613
65,"[[3, 76, 41, 47, 127, 65], [94, 65, 129, 20, 83, 43], [13, 102, 30, 19, 147, 65], [12, 40, 141, 65, 70, 101], [37, 9, 134, 65, 76, 89], [21, 140, 83, 65, 14, 26], [20, 38, 65, 5, 158, 89]]","[59, 55, 43, 0, 0, 26, 93]",7,276,39.42857143,93,"[0.5, 0.6395348837209303, 0.5119047619047619, 0.0, 0.0, 0.2736842105263158, 1.0]",7,2.925123856,0.417874837,1,,65,41.78748366,0.417874837
66,"[[66, 140, 103, 32, 74, 1], [15, 36, 94, 73, 66, 140], [157, 29, 66, 85, 22, 74], [80, 150, 66, 94, 17, 33]]","[29, 72, 56, 0]",4,157,39.25,72,"[0.3118279569892473, 0.8571428571428571, 0.5773195876288659, 0.0]",4,1.746290402,0.4365726,0.857142857,,66,43.65726004,0.4365726
67,"[[50, 60, 72, 39, 154, 67], [126, 67, 41, 18, 100, 85], [155, 72, 1, 67, 56, 43]]","[35, 81, 18]",3,134,44.66666667,81,"[0.3333333333333333, 0.7363636363636363, 0.18]",3,1.24969697,0.416565657,0.736363636,,67,41.65656566,0.416565657
68,"[[87, 143, 58, 26, 68, 12], [66, 15, 126, 30, 85, 68], [68, 31, 12, 69, 136, 84]]","[74, 0, 58]",3,132,44,74,"[0.8131868131868132, 0.0, 0.6105263157894737]",3,1.423713129,0.474571043,0.813186813,,68,47.4571043,0.474571043
69,"[[69, 54, 150, 9, 37, 97], [69, 103, 32, 137, 3, 52], [63, 140, 40, 88, 5, 69], [104, 142, 69, 2, 63, 38]]","[16, 100, 87, 87]",4,290,72.5,100,"[0.18823529411764706, 1.0, 1.0, 1.0]",4,3.188235294,0.797058824,1,,69,79.70588235,0.797058824
70,"[[23, 14, 70, 133, 56, 89], [12, 40, 141, 65, 70, 101], [132, 53, 70, 33, 4, 103], [43, 103, 4, 70, 158, 53], [27, 15, 70, 58, 101, 151]]","[23, 0, 33, 46, 40]",5,142,28.4,46,"[0.22772277227722773, 0.0, 0.4647887323943662, 0.4842105263157895, 0.5263157894736842]",5,1.70303782,0.340607564,0.526315789,,70,34.06075641,0.340607564
71,"[[10, 132, 71, 58, 85, 90], [96, 88, 35, 71, 4, 146], [146, 47, 7, 71, 60, 44]]","[34, 79, 27]",3,140,46.66666667,79,"[0.39080459770114945, 0.8404255319148937, 0.3333333333333333]",3,1.564563463,0.521521154,0.840425532,,71,52.15211543,0.521521154
72,"[[50, 60, 72, 39, 154, 67], [5, 143, 103, 72, 42, 82], [9, 98, 29, 72, 59, 135], [155, 72, 1, 67, 56, 43]]","[15, 71, 83, 89]",4,258,64.5,89,"[0.17647058823529413, 0.7717391304347826, 1.0, 1.0]",4,2.948209719,0.73705243,1,,72,73.70524297,0.73705243
73,"[[73, 29, 86, 10, 63, 136], [15, 36, 94, 73, 66, 140], [125, 73, 53, 1, 87, 41], [19, 73, 50, 96, 10, 148], [2, 125, 49, 38, 73, 92], [3, 64, 73, 90, 24, 128], [9, 57, 149, 73, 44, 104]]","[17, 40, 71, 32, 55, 29, 17]",7,261,37.28571429,71,"[0.19318181818181818, 0.36363636363636365, 0.7634408602150538, 0.34408602150537637, 0.6470588235294118, 0.25663716814159293, 0.1559633027522936]",7,2.724004358,0.38914348,0.76344086,,73,38.91434797,0.38914348
74,"[[96, 74, 44, 59, 151, 88], [66, 140, 103, 32, 74, 1], [30, 74, 135, 47, 104, 14], [157, 29, 66, 85, 22, 74], [42, 102, 62, 74, 8, 156], [74, 133, 51, 10, 36, 104], [139, 46, 52, 45, 11, 74]]","[39, 55, 58, 59, 0, 44, 57]",7,312,44.57142857,59,"[0.4431818181818182, 0.5445544554455446, 0.6744186046511628, 0.5221238938053098, 0.0, 0.43137254901960786, 0.7916666666666666]",7,3.407317988,0.486759713,0.791666667,,74,48.67597125,0.486759713
75,"[[75, 151, 16, 64, 41, 91], [75, 98, 41, 145, 82, 59], [156, 60, 99, 17, 75, 42], [27, 2, 82, 75, 137, 102]]","[17, 18, 87, 89]",4,211,52.75,89,"[0.17525773195876287, 0.20930232558139536, 0.7565217391304347, 0.839622641509434]",4,1.980704438,0.49517611,0.839622642,,75,49.51761095,0.49517611
76,"[[96, 60, 147, 83, 34, 76], [155, 95, 76, 55, 24, 3], [37, 9, 134, 65, 76, 89], [15, 63, 154, 99, 29, 76], [76, 104, 35, 9, 132, 56]]","[59, 76, 43, 90, 61]",5,329,65.8,90,"[0.5, 0.6440677966101694, 0.43434343434343436, 1.0, 0.6224489795918368]",5,3.200860211,0.640172042,1,,76,64.01720421,0.640172042
77,"[[94, 77, 59, 31, 6, 125], [63, 6, 22, 157, 77, 36], [86, 77, 11, 134, 26, 20], [37, 136, 17, 77, 84, 52], [5, 31, 77, 20, 83, 123], [53, 144, 47, 77, 37, 14]]","[87, 12, 31, 45, 57, 71]",6,303,50.5,87,"[0.9456521739130435, 0.14285714285714285, 0.36046511627906974, 0.47368421052631576, 0.6333333333333333, 0.6574074074074074]",6,3.213399384,0.535566564,0.945652174,,77,53.55665641,0.535566564
