iId,created,sequence1,sequence2,sequence_ratings1,sequence_ratings2,questionnaire
25,9/12/12 18:42,"bm13,bm08,burn3","bm02,bm09,nbh","92,13,65","0,77,22",32
26,9/12/12 19:03,"10,132,71,58,85,90","123,80,7,89,56,34","40,45,34,31,51,42","11,8,53,67,19,44",34
27,9/12/12 19:06,lastkid, burningman_05,41,243,34
28,9/12/12 19:07,burningman_08, burningman_10,207,84,34
29,9/12/12 19:07,"bm06,bm10,pop2","pop1,bm05,bm02","42,37,20","31,52,74",34
30,9/12/12 19:08,"burn1,bm10,burn3","bm02,burn2,nbh","67,8,21","19,80,61",34
31,9/12/12 19:15,"138,62,68,70,1,92","70,130,6,68,61,28","20,23,0,7,0,0","19,21,17,0,0,0",NULL
32,9/12/12 19:16,"15,36,94,73,66,140","63,6,22,157,77,36","133,4,0,40,72,0","30,57,89,70,12,84",35
33,9/12/12 19:19,burningman_05, lastkid,261,16,35
34,9/12/12 19:19,"86,77,11,134,26,20","94,65,129,20,83,43","58,31,61,58,26,64","32,55,26,32,70,29",36
35,9/12/12 19:19,burningman_08, burningman_10,187,110,35
36,9/12/12 19:21,"bm06,bm10,pop2","pop1,bm05,bm02","42,53,76","35,40,17",35
37,9/12/12 19:22,"bm13,bm08,burn3","bm02,bm09,nbh","46,0,61","45,92,44",35
38,9/12/12 19:22,lastkid, burningman_05,45,551,36
39,9/12/12 19:23,burningman_10, burningman_08,120,167,36
40,9/12/12 19:24,"bm06,bm10,pop2","pop1,bm05,bm02","60,7,19","27,78,77",36
41,9/12/12 19:25,"burn1,bm10,burn3","bm02,burn2,nbh","25,11,47","72,76,41",36
42,9/12/12 20:46,"136,40,81,17,101,51","27,145,85,99,51,8","51,13,33,25,75,80","31,63,54,78,2,67",37
43,9/12/12 21:40,"96,88,35,71,4,146","30,74,135,47,104,14","10,28,87,79,52,23","82,58,14,15,49,56",38
44,9/12/12 22:19,lastkid, burningman_05,19,38,NULL
45,9/12/12 23:42,"69,103,32,137,3,52","93,75,133,32,63,5","106,37,36,14,2,48","0,87,36,86,53,79",NULL
46,9/13/12 00:10,"4,81,35,153,104,51","51,17,81,27,133,101","61,63,62,50,8,42","12,46,23,54,56,62",39
47,9/13/12 04:07,"90,15,57,131,31,76","22,89,83,31,139,15","35,64,0,2,14,0","46,1,27,31,0,0",NULL
48,9/13/12 07:49,"144,2,96,54,50,42","8,78,67,158,24,64","63,13,60,78,87,18","25,69,78,15,12,31",NULL
49,9/13/12 09:09,"80,99,121,48,33,14","98,126,43,82,18,55","36,18,72,30,73,62","52,66,20,71,44,28",40
50,9/13/12 09:36,burningman_05, lastkid,238,39,40
51,9/13/12 09:38,burningman_10, burningman_08,84,208,40
52,9/13/12 09:39,"bm06,bm10,pop2","pop1,bm05,bm02","42,7,13","29,65,76",40
53,9/13/12 09:39,"burn1,bm10,burn3","bm02,burn2,nbh","65,6,55","13,77,36",40
54,9/13/12 15:28,"46,45,56,86,148,16","11,21,92,122,25,62","46,51,1,45,55,37","41,38,81,38,42,65",41
55,9/13/12 18:34,"40,49,100,152,12,53","125,60,39,10,102,79","43,50,27,9,0,0","36,44,50,11,0,0",NULL
56,9/13/12 18:34,lastkid, burningman_05,153,117,NULL
57,9/13/12 18:35,burningman_08, burningman_10,162,118,NULL
58,9/13/12 20:45,"13,102,30,19,147,65","95,13,49,66,34,147","93,75,6,0,0,43","0,24,0,0,0,41",NULL
59,9/13/12 21:00,"53,1,28,79,100,152","125,73,53,1,87,41","61,22,65,50,33,22","33,71,38,37,78,56",42
60,9/13/12 22:46,"103,23,134,10,80,59","87,143,58,26,68,12","48,61,60,0,17,69","39,19,37,84,74,40",43
61,9/14/12 00:06,burningman_05, lastkid,260,17,NULL
62,9/14/12 00:07,burningman_10, burningman_08,186,108,NULL
63,9/14/12 00:08,"bm06,bm10,pop2","pop1,bm05,bm02","83,12,0","0,69,92",NULL
64,9/14/12 00:20,"38,93,61,47,7,123","146,47,7,71,60,44","59,38,57,54,71,0","29,46,18,27,66,92",44
65,9/14/12 00:23,lastkid, burningman_05,128,154,44
66,9/14/12 00:24,burningman_10, burningman_08,110,172,44
67,9/14/12 00:25,"bm06,bm10,pop2","bm11,bm05,bm02","87,68,49","0,26,44",44
68,9/14/12 00:26,"burn1,bm10,burn3","bm02,burn2,nbh","49,27,9","42,58,69",44
69,9/14/12 03:20,"86,124,60,48,39,21","46,39,6,58,122,79","89,34,26,0,6,68","0,37,84,86,34,70",45
70,9/14/12 08:13,"63,140,40,88,5,69","12,40,141,65,70,101","40,70,76,91,86,87","12,23,41,0,0,0",46
71,9/14/12 10:05,"37,136,17,77,84,52","157,29,66,85,22,74","43,48,41,45,55,54","54,47,56,50,48,59",47
72,9/14/12 14:28,"19,73,50,96,10,148","75,98,41,145,82,59","68,32,59,33,0,21","18,61,51,60,86,66",48
73,9/14/12 19:15,"3,154,89,61,20,23","76,23,55,152,4,90","44,22,16,27,20,24","19,70,71,69,54,69",49
74,9/14/12 19:18,burningman_05, lastkid,38,240,49
75,9/14/12 19:19,burningman_10, burningman_08,111,171,49
76,9/14/12 19:19,"bm06,bm10,pop2","bm11,bm05,bm02","28,91,85","60,8,0",49
77,9/14/12 19:20,"bm13,bm08,burn3","bm02,bm09,nbh","91,12,84","82,85,70",49
79,9/15/12 16:55,"62,78,11,149,24,92","11,49,83,29,99,121","0,0,19,67,24,52","0,0,6,0,23,13",NULL
80,9/16/12 19:50,"150,35,57,9,78,102","8,131,97,33,46,54","105,134,93,82,81,53","0,0,0,0,0,0",NULL
81,9/16/12 20:53,"104,142,69,2,63,38","14,37,20,104,80,138","67,44,87,35,0,4","28,43,0,87,76,90",50
82,9/16/12 20:55,lastkid, burningman_05,133,161,NULL
83,9/16/12 20:56,burningman_08, burningman_10,229,82,NULL
84,9/16/12 20:56,"bm06,bm10,pop2","pop1,bm05,bm02","81,62,20","20,29,74",NULL
85,9/16/12 20:57,"burn1,bm10,burn3","bm02,burn2,nbh","90,13,23","9,79,71",NULL
86,9/16/12 20:57,lastkid, burningman_05,172,95,50
87,9/16/12 20:58,burningman_10, burningman_08,136,130,50
88,9/16/12 20:59,"bm06,bm10,pop2","bm11,bm05,bm02","56,62,25","25,32,65",50
89,9/16/12 21:00,"burn1,bm10,burn3","bm02,burn2,nbh","67,19,3","19,65,77",50
90,9/16/12 21:09,"71,95,130,16,43,54","21,16,28,94,153,86","26,2,8,45,91,14","25,4,25,47,5,92",51
91,9/16/12 21:11,"31,95,64,16,137,87","135,16,84,95,26,58","48,32,14,44,49,13","59,65,75,65,33,90",52
92,9/16/12 21:12,lastkid, burningman_05,113,157,51
93,9/16/12 21:12,burningman_10, burningman_08,125,56,51
94,9/16/12 21:13,"bm06,bm10,pop2","bm11,bm05,bm02","96,40,19","5,43,76",51
95,9/16/12 21:13,"155,97,22,48,27,14","45,79,12,55,151,91","84,0,0,0,0,0","2,0,0,0,0,0",53
96,9/16/12 21:15,lastkid, burningman_05,110,195,52
97,9/16/12 21:16,"7,88,91,79,144,34","82,19,56,97,34,125","63,13,55,78,49,32","127,75,96,94,83,90",54
98,9/16/12 21:20,"101,83,36,127,52,13","66,15,126,30,85,68","0,84,87,91,36,89","5,0,0,0,41,0",50
99,9/16/12 21:21,lastkid, burningman_05,141,149,50
100,9/16/12 21:22,burningman_10, burningman_08,288,1,50
101,9/16/12 21:22,burningman_05, lastkid,197,97,54
102,9/16/12 21:22,"bm06,bm10,pop2","bm11,bm05,bm02","0,0,13","92,91,76",50
103,9/16/12 21:23,burningman_08, burningman_10,190,109,54
104,9/16/12 21:23,"bm13,bm08,burn3","bm02,bm09,nbh","92,86,87","0,0,0",50
105,9/16/12 21:24,"bm06,bm10,pop2","bm11,bm05,bm02","35,41,0","61,52,88",54
106,9/16/12 21:24,"burn1,bm10,burn3","bm02,burn2,nbh","48,24,0","51,70,89",54
107,9/16/12 21:25,"burn1,bm10,burn3","bm02,burn2,nbh","12,7,16","6,77,72",54
108,9/16/12 21:26,"156,60,99,17,75,42","42,102,62,74,8,156","30,0,76,90,87,13","54,93,0,0,28,86",50
109,9/16/12 21:28,"1,96,129,57,44,81","77,10,44,50,129,93","0,48,0,0,76,42","58,50,81,85,69,49",55
110,9/16/12 21:32,lastkid, burningman_05,211,39,55
111,9/16/12 21:33,burningman_08, burningman_10,80,199,55
112,9/16/12 21:33,"bm06,bm10,pop2","bm11,bm05,bm02","1,69,61","87,25,34",55
113,9/16/12 21:35,"bm13,bm08,burn3","bm02,bm09,nbh","50,0,0","24,89,88",55
114,9/16/12 22:06,"43,103,4,70,158,53","132,53,70,33,4,103","50,59,38,46,0,0","41,31,33,49,8,0",56
115,9/16/12 22:14,lastkid, burningman_05,156,130,56
116,9/16/12 22:15,burningman_10, burningman_08,136,159,56
117,9/16/12 22:15,"bm06,bm10,pop2","pop1,bm05,bm02","44,79,36","43,14,57",56
118,9/16/12 22:16,"bm13,bm08,burn3","bm02,bm09,nbh","47,51,30","23,42,55",56
119,9/17/12 00:08,"37,9,134,65,76,89","9,98,29,72,59,135","46,50,73,0,43,81","32,40,10,83,56,27",57
120,9/17/12 00:14,burningman_05, lastkid,261,22,57
121,9/17/12 00:14,burningman_10, burningman_08,155,138,57
122,9/17/12 00:15,"bm06,bm10,pop2","pop1,bm05,bm02","31,65,14","61,29,81",57
123,9/17/12 00:16,"burn1,bm10,burn3","bm02,burn2,nbh","77,21,5","41,71,79",57
124,9/17/12 07:45,"32,92,61,145,5,49","2,125,49,38,73,92","46,0,86,86,30,39","4,76,21,0,55,45",NULL
125,9/17/12 08:08,lastkid, burningman_05,217,72,NULL
126,9/17/12 08:09,burningman_10, burningman_08,85,215,NULL
127,9/17/12 09:00,"59,100,152,18,87,45","85,3,30,154,60,90","1,46,55,88,41,90","75,51,12,0,48,2",58
128,9/17/12 09:04,burningman_05, lastkid,191,59,58
129,9/17/12 09:06,burningman_10, burningman_08,195,106,58
130,9/17/12 09:07,"bm06,bm10,pop2","bm11,bm05,bm02","74,39,24","12,54,64",58
131,9/17/12 09:07,"bm13,bm08,burn3","bm02,bm09,nbh","15,0,54","67,89,41",58
132,9/17/12 14:19,"3,64,73,90,24,128","25,85,19,18,122,90","0,0,29,64,91,71","93,62,84,12,8,16",59
133,9/17/12 14:20,"94,157,3,39,59,48","3,45,90,121,50,54","82,89,95,138,97,92","12,0,0,0,0,0",60
134,9/17/12 14:25,lastkid, burningman_05,206,144,60
135,9/17/12 15:02,"126,67,41,18,100,85","30,87,141,100,18,54","255,81,18,42,17,93","63,29,55,72,76,0",61
136,9/17/12 16:54,"152,86,6,81,98,28","35,6,88,89,81,142","60,112,68,18,3,45","188,87,26,88,81,84",NULL
137,9/17/12 18:17,"130,47,22,102,40,13","27,2,82,75,137,102","52,13,97,17,0,2","37,79,0,89,93,92",62
138,9/17/12 18:22,burningman_05, lastkid,195,75,62
139,9/17/12 18:22,burningman_10, burningman_08,34,264,62
140,9/17/12 18:23,"bm06,bm10,pop2","bm11,bm05,bm02","55,9,12","29,79,80",62
141,9/17/12 18:24,"bm13,bm08,burn3","bm02,bm09,nbh","34,76,90","63,89,85",62
142,9/17/12 22:23,"96,36,7,55,147,46","74,133,51,10,36,104","58,44,4,62,45,90","44,53,64,92,18,0",63
143,9/17/12 22:28,"21,140,83,65,14,26","5,31,77,20,83,123","33,14,33,26,16,23","37,74,57,69,72,61",NULL
144,9/17/12 22:29,lastkid, burningman_05,239,49,63
145,9/17/12 22:30,burningman_08, burningman_10,96,201,63
146,9/17/12 22:31,"bm06,bm10,pop2","pop1,bm05,bm02","28,77,91","65,15,0",63
147,9/17/12 22:32,"bm13,bm08,burn3","bm02,bm09,nbh","32,12,61","60,78,31",63
148,9/17/12 22:41,"68,31,12,69,136,84","25,57,101,84,71,127","58,10,13,87,84,91","37,81,87,65,90,83",64
149,9/18/12 01:38,"80,150,66,94,17,33","86,28,94,11,62,124","67,5,0,20,0,0","49,88,87,14,0,0",NULL
150,9/18/12 01:52,"15,63,154,99,29,76","155,72,1,67,56,43","71,0,0,82,7,90","1,89,87,18,63,0",65
151,9/18/12 01:57,lastkid, burningman_05,158,107,65
152,9/18/12 01:58,burningman_08, burningman_10,139,159,65
153,9/18/12 01:58,"bm06,bm10,pop2","pop1,bm05,bm02","71,64,40","29,53,79",65
154,9/18/12 01:59,"bm13,bm08,burn3","bm02,bm09,nbh","59,23,84","26,67,9",65
155,9/18/12 05:48,lastkid, burningman_05,63,154,NULL
156,9/18/12 05:49,burningman_10, burningman_08,223,2,NULL
157,9/18/12 07:27,"78,8,93,61,143,41","60,78,8,93,30,138","37,44,71,49,10,12","52,47,5,36,69,70",66
158,9/18/12 07:31,lastkid, burningman_05,108,166,66
159,9/18/12 07:32,burningman_10, burningman_08,108,176,66
160,9/18/12 07:32,"bm06,bm10,pop2","bm11,bm05,bm02","62,24,56","27,71,41",66
161,9/18/12 07:33,"burn1,bm10,burn3","bm02,burn2,nbh","113,12,15","36,12,87",66
162,9/18/12 10:47,burningman_05, lastkid,253,45,NULL
163,9/18/12 10:48,burningman_08, burningman_10,189,92,NULL
164,9/18/12 10:49,"bm06,bm10,pop2","pop1,bm05,bm02","110,73,31","0,13,58",NULL
165,9/18/12 10:49,lastkid, burningman_05,93,176,NULL
166,9/18/12 10:50,burningman_08, burningman_10,199,74,NULL
167,9/18/12 10:51,"bm06,bm10,pop2","pop1,bm05,bm02","61,69,57","33,21,31",NULL
168,9/18/12 11:25,burningman_05, lastkid,70,143,NULL
169,9/18/12 11:26,burningman_10, burningman_08,177,74,NULL
170,9/18/12 11:26,"bm06,bm10,pop2","bm11,bm05,bm02","10,46,21","54,50,73",NULL
171,9/18/12 15:04,"65,144,7,78,83,36","46,31,65,1,78,143","1,0,0,17,89,25","0,0,0,44,4,74",67
172,9/18/12 15:07,burningman_05, lastkid,47,236,67
173,9/18/12 15:08,burningman_10, burningman_08,187,103,67
174,9/18/12 15:09,"bm06,bm10,pop2","pop1,bm05,bm02","40,0,0","2,80,89",67
175,9/18/12 15:10,"burn1,bm10,burn3","bm02,burn2,nbh","82,94,29","30,0,60",67
176,9/18/12 15:19,burningman_05, lastkid,79,191,NULL
177,9/18/12 15:20,burningman_08, burningman_10,201,77,NULL
178,9/18/12 15:25,"bm06,bm10,pop2","bm11,bm05,bm02","36,68,17","49,27,80",NULL
179,9/18/12 15:29,"139,46,52,45,11,74","23,1,100,139,49,52","53,58,11,78,69,57","72,40,66,67,23,15",68
180,9/18/12 15:32,burningman_05, lastkid,150,133,68
181,9/18/12 15:33,burningman_08, burningman_10,178,123,68
182,9/18/12 15:33,"bm06,bm10,pop2","pop1,bm05,bm02","56,17,37","36,71,57",68
183,9/18/12 18:22,"27,15,70,58,101,151","131,58,97,15,82,39","36,41,40,90,26,13","1,45,36,6,54,0",69
184,9/18/12 18:24,lastkid, burningman_05,183,83,69
185,9/18/12 18:25,burningman_10, burningman_08,82,194,69
186,9/18/12 18:26,"bm06,bm10,pop2","pop1,bm05,bm02","7,76,94","78,15,0",69
187,9/18/12 18:26,"bm13,bm08,burn3","bm02,bm09,nbh","65,12,87","1,80,7",69
188,9/18/12 23:55,"9,57,149,73,44,104","76,104,35,9,132,56","37,23,115,17,72,65","61,77,72,92,29,87",70
189,9/19/12 19:32,"53,144,47,77,37,14","20,38,65,5,158,89","56,96,0,71,96,70","27,83,93,37,88,90",71
190,9/19/12 19:43,lastkid, burningman_05,148,139,71
191,9/19/12 19:44,burningman_08, burningman_10,248,70,71
192,9/19/12 19:45,"bm06,bm10,pop2","bm11,bm05,bm02","21,54,88","69,36,0",71
193,9/19/12 19:45,"burn1,bm10,burn3","bm02,burn2,nbh","63,72,12","28,18,71",71
